Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Куртка BEEZER;https://www.ozon.ru/product/894157243;BEEZER;Одежда;Куртка;Да;2546549;360;518;3647.3;4916;190759;93;95379;19;FBO;3;15.6;23.2;32.4;415706;25022;0.01;7;1.4;46.1;2023-03-14
Куртка BEEZER;https://www.ozon.ru/product/894157509;BEEZER;Одежда;Куртка;Да;2545945;263;502;3899;5072;91589;96;91589;18;FBO;4;20.7;23.9;33.2;258174;15516;0.03;9.46;0.3;44.3;2023-03-14
Парка adidas Sportswear Ho Fur Parka;https://www.ozon.ru/product/1067072072;adidas Sportswear;Одежда;Парка;Да;2484965;105;192;10459;12943;0;100;87624;7;FBO;4;8.6;19.1;27.5;167355;9559;0.02;6.2;0;Нет данных;Нет данных
Пальто;https://www.ozon.ru/product/1475688618;без бренда;Одежда;Пальто;Да;2481733;89;277;6419;8959;0;100;84507;9;FBO;3;8.2;20;28.5;167115;19604;0.03;4.52;0.9;37.2;2024-03-16
Худи;https://www.ozon.ru/product/1614187635;без бренда;Одежда;Худи;Нет;2480903;-14;865;2632;2868;89937;96;89937;31;FBS;0;3;22.3;31.7;1243;893;5.79;82.64;0;28;2024-06-26
Куртка BEEZER;https://www.ozon.ru/product/894157238;BEEZER;Одежда;Куртка;Да;2462472;346;506;3660.8;4867;0;100;85710;18;FBO;3;21.5;24.3;33.6;535651;38216;0.01;5.19;25;43.4;2023-03-14
Комплект одежды Sasheline;https://www.ozon.ru/product/1671990702;Sasheline;Одежда;Комплект одежды;Да;2439175;228;624;2938.5;3909;88519;96;88519;23;FBO;5;3.6;21.6;30.6;152041;21710;0.03;11.42;0.4;55.1;2024-08-27
Костюм спортивный;https://www.ozon.ru/product/1686558939;без бренда;Одежда;Костюм спортивный;Да;2370717;612;776;1950;3055;0;100;81329;27;FBS;6;1;21.3;30.4;160248;31941;0.05;6.78;11.2;62.2;2024-09-08
Свитер «Manolo Wear»;https://www.ozon.ru/product/1134357684;«Manolo Wear»;Одежда;Свитер;Да;2354760;262;1504;1048.5;1566;0;100;82697;53;FBO;4;9.4;27.3;38.3;698218;62557;0.03;7.91;0.3;70.1;2023-08-14
Пальто Dene;https://www.ozon.ru/product/1419796891;Dene;Одежда;Пальто;Да;2352083;9;264;6514;8909;173378;93;86689;10;FBO;5;17.3;20.8;29.4;101997;8909;0.01;11.7;0;29.7;2024-02-10
Куртка BEEZER;https://www.ozon.ru/product/893963738;BEEZER;Одежда;Куртка;Да;2276512;209;453;3414.3;5025;475810;82;95162;19;FBO;4;17.4;23.4;32.6;177322;10211;0.03;12.31;0;44.7;2023-03-14
Куртка;https://www.ozon.ru/product/1665102651;без бренда;Одежда;Куртка;Да;2264159;897;501;3054;4519;492123;82;98425;22;FBO;4;35.3;26.8;36.8;347365;16376;0.02;9.66;0.3;66.3;2024-08-21
Костюм классический GLORY WOMEN Кашемир;https://www.ozon.ru/product/1559615375;GLORY WOMEN;Одежда;Костюм классический;Да;2258581;87;513;1;4403;80600;96;80600;18;FBO,FBS;4;11.8;22.8;32;538266;33070;0.02;6.05;0.2;47.5;2024-04-26
Свитер Golden Loop Школа;https://www.ozon.ru/product/1290742442;Golden Loop;Одежда;Свитер;Да;2224246;42;1348;1;1650;0;100;77321;47;FBO;4;3.7;24;34.2;2714708;65680;0.04;7.05;0.7;55.9;2023-11-14
Брюки ZERTELLI Классические;https://www.ozon.ru/product/1187657478;ZERTELLI;Одежда;Брюки;Да;2220879;201;687;2409.8;3233;168567;93;84284;26;FBO;4;2.4;21.8;31;134556;16228;0.02;11.81;1.8;49.6;2023-09-12
Парка MurLeMur Базовая коллекция;https://www.ozon.ru/product/1660472984;MurLeMur;Одежда;Парка;Да;2201230;1391;303;5772;7265;259824;89;86608;12;FBO;4;25;23.1;32.1;106199;13773;0.03;7.28;0.2;44;2024-08-16
Свитшот Kostumchik Store;https://www.ozon.ru/product/1361876876;Kostumchik Store;Одежда;Свитшот;Да;2189300;110;1657;47.3;1321;0;100;76662;58;FBO;4;4.4;26.1;37.3;1215215;117689;0.03;4.66;7.7;64.1;2023-12-27
Парка MurLeMur Базовая коллекция;https://www.ozon.ru/product/1660473121;MurLeMur;Одежда;Парка;Да;2175304;1368;296;5383.5;7349;260139;89;86713;12;FBO;6;25;23.1;32.1;94535;10822;0.02;9.35;0.1;48.5;2024-08-16
Пальто Dene;https://www.ozon.ru/product/1628932457;Dene;Одежда;Пальто;Да;2165202;25;237;6836;9136;0;100;75554;8;FBO;4;18.1;20.8;29.5;79024;10027;0.01;8.56;0.5;30.7;2024-07-15
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1627389289;by Arhangelskaya Alina;Одежда;Пальто;Да;2154635;208;177;10689;12173;344283;86;86071;7;FBO;4;27.6;19.5;28.1;107230;18643;0.01;4.52;2.9;41;2024-07-12
Куртка BEEZER;https://www.ozon.ru/product/894157247;BEEZER;Одежда;Куртка;Да;2140610;308;439;3221.3;4876;77497;96;77497;16;FBO;3;13.3;22.9;32;392971;27746;0.02;5.82;1.4;51.5;2023-03-14
Пальто Dene;https://www.ozon.ru/product/1419797102;Dene;Одежда;Пальто;Да;2138255;-22;250;6120.3;8553;0;100;73388;8;FBO;5;12.1;20.6;29.3;83970;16705;0.02;5.54;2.2;44.6;2024-02-10
Худи;https://www.ozon.ru/product/1615012019;без бренда;Одежда;Худи;Нет;2137940;-30;748;2632;2858;76801;96;76801;27;FBS;0;3;22.3;31.7;1240;915;6.53;67.97;0;34.4;2024-06-27
Водолазка;https://www.ozon.ru/product/1650089653;без бренда;Одежда;Водолазка;Да;2137716;359;1849;1;1156;0;100;75358;65;FBO;4;2.8;25.2;36.3;252778;97966;0.02;7.21;21.6;65.5;2024-08-06
Свитер RHYTHM WEAR Оверсайз;https://www.ozon.ru/product/1671195893;RHYTHM WEAR;Одежда;Свитер;Да;2130780;403;1028;213;2073;160869;93;80434;39;FBO;4;4.4;23.5;33.3;703325;28938;0.03;10.34;4.6;47.2;2024-08-26
Пуховик MONOMIR Зима;https://www.ozon.ru/product/1659310492;MONOMIR;Одежда;Пуховик;Да;2105933;1123;179;9129;11765;0;100;74597;6;FBO;5;30.4;20.3;29;64759;10719;0.05;8.9;0;55.4;2024-08-15
Костюм спортивный;https://www.ozon.ru/product/1686558922;без бренда;Одежда;Костюм спортивный;Да;2104112;605;690;2157;3049;0;100;72334;24;FBS;6;1;21.3;30.4;140281;26237;0.04;7.04;9.8;63.8;2024-09-08
Пуховик LIBERTA;https://www.ozon.ru/product/1650053232;LIBERTA;Одежда;Пуховик;Да;2101709;409;373;3527.3;5635;0;100;74490;13;FBO;4;44.3;27;36.9;246457;17260;0.02;6.92;3.4;48.2;2024-08-06
Комбинезон утепленный Lassie;https://www.ozon.ru/product/1202468953;Lassie;Одежда;Комбинезон утепленный;Да;2084351;382;525;2938.5;3970;0;100;73476;18;FBO;4;18;24.5;34.1;139245;14095;0.07;9.48;1.2;63.1;2023-09-21
Лонгслив ASSERTIVE;https://www.ozon.ru/product/1613786757;ASSERTIVE;Одежда;Лонгслив;Да;2053124;-9;1271;1;1615;74557;96;74557;46;FBO;4;2.3;23.6;33.8;630676;61053;0.05;7.01;14.4;54.6;2024-06-25
Пальто пуховое Lena Karnauhova;https://www.ozon.ru/product/806688248;Lena Karnauhova;Одежда;Пальто пуховое;Да;2051606;379;179;7727;11461;0;100;73292;6;FBO,FBS;5;23.6;19.8;28.5;138425;10100;0.02;6.17;2.1;56.4;2022-11-30
Водолазка;https://www.ozon.ru/product/1649797928;без бренда;Одежда;Водолазка;Да;2047431;306;1761;1;1163;241262;89;80421;69;FBO;4;2.8;25.2;36.3;427188;88665;0.05;7.56;17.4;66.6;2024-08-06
Свитер SAXAR SHOWROOM;https://www.ozon.ru/product/876064391;SAXAR SHOWROOM;Одежда;Свитер;Да;2044640;93;1531;25.6;1335;0;100;71891;53;FBO;4;4;25.1;36;1665910;65207;0.04;7.87;0;58.2;2023-02-26
Куртка artModa;https://www.ozon.ru/product/1410907072;artModa;Одежда;Куртка;Да;2034564;46;405;3844;5024;0;100;69134;14;FBO;5;26.9;24.7;34.2;110949;7086;0.03;13.4;0;45.3;2024-01-31
Куртка;https://www.ozon.ru/product/1250552329;без бренда;Одежда;Куртка;Да;2032971;338;587;2484;3463;0;100;71945;21;FBO;3;11.6;23.9;33.4;935344;54445;0.01;4.58;0;49.2;2023-10-19
Пуховик Marmalato;https://www.ozon.ru/product/1261633213;Marmalato;Одежда;Пуховик;Да;2029714;203;114;11843;17805;548887;79;91481;5;FBO,FBS;5;14;17.3;25.6;24695;3672;0.04;10.18;0;49;2023-10-26
Куртка кожаная LOOTUS;https://www.ozon.ru/product/1642849388;LOOTUS;Одежда;Куртка кожаная;Да;2010912;-7;1043;1;1928;0;100;69354;36;FBO;4;5.3;24.2;34.3;982441;41473;0.03;7.09;17.7;44.8;2024-07-30
Водолазка;https://www.ozon.ru/product/1649799413;без бренда;Одежда;Водолазка;Да;2010818;266;1739;1;1156;237613;89;79204;68;FBO;4;2.8;25.2;36.3;433956;64431;0.02;10.13;9.2;66.7;2024-08-06
Свитер Dencop;https://www.ozon.ru/product/1146087948;Dencop;Одежда;Свитер;Да;1999367;1063;1161;112.6;1722;74240;96;74240;43;FBO;4;7.9;25.4;35.9;371363;53185;0.11;8.47;3.1;48.6;2023-08-21
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132912986;TWOGOAT;Одежда;Костюм спортивный;Да;1998952;121;515;2778;3881;0;100;69684;18;FBO;4;12;23.2;32.6;149382;11653;0.02;10.76;0;59.6;2023-08-13
Костюм спортивный 12Sportwear Из футера с начесом;https://www.ozon.ru/product/1467654864;12Sportwear;Одежда;Костюм спортивный;Да;1982621;80;526;2444;3769;0;100;68749;18;FBO;3;12;23.3;32.7;295015;14275;0.01;8.51;23.9;62.9;2024-03-12
Куртка Shop Of Dom;https://www.ozon.ru/product/1611376291;Shop Of Dom;Одежда;Куртка;Да;1974569;179;529;2834.3;3733;517249;79;86208;23;FBO;5;36.7;29.2;39.8;165282;14556;0.08;12.86;0;48;2024-06-22
Шуба искусственная LAWINTER;https://www.ozon.ru/product/1171640240;LAWINTER;Одежда;Шуба искусственная;Да;1970887;352;126;14513;15642;0;100;68232;4;FBO,FBS;5;17.1;17.7;26;35685;3904;0.03;8.83;0.4;44.1;2023-09-04
Костюм классический Mercis;https://www.ozon.ru/product/1657759907;Mercis;Одежда;Костюм классический;Да;1970746;152;452;2928.7;4360;71176;96;71176;16;FBO;4;9.3;22.5;31.6;383359;33427;0.04;6.53;1.7;42.4;2024-08-14
Брюки утепленные;https://www.ozon.ru/product/1687065744;без бренда;Одежда;Брюки утепленные;Да;1943829;9698;1221;1;1592;71921;96;71921;45;FBO;5;3.5;24.3;34.7;120806;29924;0.04;12.77;0.5;51.1;2024-09-09
Куртка Shop Of Dom;https://www.ozon.ru/product/1611376048;Shop Of Dom;Одежда;Куртка;Да;1942821;161;523;2397;3715;624888;75;89270;24;FBO;5;22.4;26.1;36;166540;14729;0.08;13.23;0;45.4;2024-06-22
Пуховик MONOMIR Зима;https://www.ozon.ru/product/1659310592;MONOMIR;Одежда;Пуховик;Да;1941540;1429;165;8924.4;11767;0;100;68338;6;FBO;5;24;19.8;28.4;105877;11488;0.02;8.94;1;44.6;2024-08-15
Комплект одежды;https://www.ozon.ru/product/1656273681;без бренда;Одежда;Комплект одежды;Нет;1940465;200;3384;1;573;0;100;68535;118;FBO;3;1.5;30.5;45.1;1898208;159652;0.05;5.74;12.1;77.6;2024-08-12
Костюм спортивный ULook СпортШик;https://www.ozon.ru/product/1217087434;ULook;Одежда;Костюм спортивный;Да;1937486;-16;755;23.3;2566;0;100;67189;26;FBO;3;6.1;23.4;33.1;969292;62850;0.01;3.78;8.8;46.1;2023-09-30
Пальто Artarianna;https://www.ozon.ru/product/1657328091;Artarianna;Одежда;Пальто;Да;1900637;135;270;4475.3;7039;0;100;66182;9;FBO;4;32.6;24;33.2;257264;8973;0.01;8.58;0.5;39.7;2024-08-13
Брюки утепленные Fart Favorita;https://www.ozon.ru/product/1261237052;Fart Favorita;Одежда;Брюки утепленные;Да;1899603;383;1055;1156.5;1801;0;100;67195;37;FBO;3;7.7;25.3;35.7;92031;36209;0.07;9.33;0;48;2023-10-26
Свитер Bananapolis;https://www.ozon.ru/product/1653437851;Bananapolis;Одежда;Свитер;Да;1894264;105;608;2086.5;3116;0;100;67315;22;FBO;4;3.9;22;31.1;280299;27328;0.02;8.03;6.2;44.8;2024-08-09
Комбинезон утепленный Lassie;https://www.ozon.ru/product/1202476536;Lassie;Одежда;Комбинезон утепленный;Да;1888678;367;470;2937;4018;0;100;66307;16;FBO;4;30.8;27.1;37.3;108861;15708;0.09;8.51;2;63.5;2023-09-21
Пальто LOVINI Осень;https://www.ozon.ru/product/1629822801;LOVINI;Одежда;Пальто;Да;1883407;363;311;3573;6056;0;100;65407;11;FBO;3;16.5;22.6;31.6;328434;18373;0.01;4.87;6.4;37.1;2024-07-16
Куртка ТВОЕ;https://www.ozon.ru/product/445665398;ТВОЕ;Одежда;Куртка;Да;1876315;336;501;2777.3;3745;0;100;66097;18;FBO;3;26.5;26.7;36.7;294240;11408;0.02;9.27;2.5;60.1;2021-12-27
Брюки ZERTELLI Классические;https://www.ozon.ru/product/1187662761;ZERTELLI;Одежда;Брюки;Да;1867374;155;577;55.6;3236;0;100;66046;20;FBO;4;3;21.8;31;103429;24883;0.02;7.61;6;50.2;2023-09-12
Кардиган 32Clothes;https://www.ozon.ru/product/1631426015;32Clothes;Одежда;Кардиган;Да;1860784;21;434;2726.1;4288;0;100;61750;14;FBO;3;16.4;23.8;33.1;316894;26539;0.05;7.64;2;43.3;2024-07-18
Брюки ZERTELLI Классические;https://www.ozon.ru/product/1187670468;ZERTELLI;Одежда;Брюки;Да;1854964;163;576;2395.5;3220;0;100;65184;20;FBO;4;3;21.8;31;73950;9461;0.04;16.15;0;46.4;2023-09-12
Пуховик FEROD&NORDE Зима;https://www.ozon.ru/product/1649188026;FEROD&NORDE;Одежда;Пуховик;Да;1851934;593;180;7540;10289;0;100;64692;6;FBO;5;24.5;20.5;29.2;214615;8979;0.01;7.57;0.1;42.5;2024-08-05
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1646375480;by Arhangelskaya Alina;Одежда;Пальто;Да;1846283;192;143;9193.9;12911;67548;96;67548;5;FBO;4;37;19.7;28.4;84985;8531;0.01;7.04;0;42;2024-08-02
Платье SN Studio;https://www.ozon.ru/product/1651810669;SN Studio;Одежда;Платье;Да;1845888;173;601;1983.3;3071;295494;86;73874;24;FBO;4;3.4;22.2;31.5;459348;32195;0.02;7.26;8.3;55.1;2024-08-07
Брюки утепленные Fart Favorita;https://www.ozon.ru/product/1261208508;Fart Favorita;Одежда;Брюки утепленные;Да;1844970;580;1027;1282.5;1796;0;100;65458;36;FBO;3;5.9;24.5;34.7;89830;19441;0.06;14.64;0;48.2;2023-10-26
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1133891229;CROCKID;Одежда;Комбинезон утепленный;Да;1840732;482;344;4023;5351;139047;93;69523;13;FBO,FBS;4;11.2;22.3;31.3;66577;5557;0.1;13.46;0.7;57.5;2023-08-14
Куртка artModa;https://www.ozon.ru/product/1410906755;artModa;Одежда;Куртка;Да;1840632;79;377;3458.3;4882;0;100;62672;13;FBO;4;25.4;24.8;34.2;121707;7758;0.03;13.32;0;46;2024-01-31
Пуховик FEROD&NORDE Зима;https://www.ozon.ru/product/1649184867;FEROD&NORDE;Одежда;Пуховик;Да;1832699;307;178;7585;10296;0;100;63439;6;FBO;4;31.2;21.1;29.9;137683;6075;0.01;10.23;0.2;39.8;2024-08-05
Костюм спортивный 12Sportwear Из футера с начесом;https://www.ozon.ru/product/1467654755;12Sportwear;Одежда;Костюм спортивный;Да;1819953;76;482;2953.2;3776;0;100;62748;17;FBO;3;5;21.9;31;232647;10373;0.01;10.28;1.2;64.2;2024-03-12
Водолазка;https://www.ozon.ru/product/1651700293;без бренда;Одежда;Водолазка;Да;1818109;273;1574;1;1155;137398;93;68699;59;FBO;4;2.8;25.2;36.3;383463;84815;0.02;6.87;14.8;63.4;2024-08-07
Свитер Bananapolis;https://www.ozon.ru/product/1653438070;Bananapolis;Одежда;Свитер;Да;1812909;193;618;111;2934;0;100;64193;22;FBO;4;3.9;22.2;31.4;310161;35342;0.03;7.04;3.6;53.9;2024-08-09
Комбинезон утепленный CROCKID Для мальчиков;https://www.ozon.ru/product/1160402538;CROCKID;Одежда;Комбинезон утепленный;Да;1804704;160;338;3822;5339;287956;86;71989;13;FBO,FBS;6;9.6;22;30.9;75387;9538;0.09;9.7;0.2;53.9;2023-08-29
Пальто EVE outwear;https://www.ozon.ru/product/1677250398;EVE outwear;Одежда;Пальто;Да;1803524;750;212;3790.5;8507;0;100;62990;7;FBO;3;13.2;20.8;29.5;72306;6456;0.02;8.73;3.4;27.3;2024-08-31
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1627387659;by Arhangelskaya Alina;Одежда;Пальто;Да;1799586;162;151;10293.3;11918;1296217;57;108018;9;FBO;6;24.2;19.4;28;42883;4375;0.02;10.49;0.1;40.5;2024-07-12
Свитер Buy & Style;https://www.ozon.ru/product/1646932274;Buy & Style;Одежда;Свитер;Да;1798852;98;814;1;2210;0;100;63455;28;FBO;3;8.7;24.6;34.7;617218;27329;0.05;9.72;1;63.7;2024-08-02
Брюки утепленные Fart Favorita;https://www.ozon.ru/product/1409645062;Fart Favorita;Одежда;Брюки утепленные;Да;1798501;508;1014;1113;1774;0;100;63712;36;FBO;3;2.9;23.3;33.2;84661;24437;0.04;12.23;0;47.2;2024-01-30
Пальто Zarina;https://www.ozon.ru/product/1658092224;Zarina;Одежда;Пальто;Да;1797122;283;330;2807.1;5446;210869;89;70290;13;FBO;4;19.2;23;32.1;225777;22353;0.02;3.86;0.1;45.2;2024-08-14
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132953203;TWOGOAT;Одежда;Костюм спортивный;Да;1796813;92;456;2973;3940;204493;89;68164;17;FBO;4;10.9;23;32.3;106329;12035;0;7.84;1.1;54.2;2023-08-13
Джинсы Fart Favorita;https://www.ozon.ru/product/1551613530;Fart Favorita;Одежда;Джинсы;Да;1783236;25;1154;1100.3;1545;0;100;61567;40;FBO;4;1.2;23.7;34.2;138956;19084;0.07;13.93;0;36.1;2024-04-19
Куртка artModa;https://www.ozon.ru/product/1643821821;artModa;Одежда;Куртка;Да;1781452;261;258;5366.5;6905;0;100;63200;9;FBO;3;23.3;23.1;32.2;196448;16113;0.02;6.78;3.1;54.6;2024-07-31
Легинсы allfull /спортивные велосипедки /лосины женские для фитнеса моделирующие фигуру ;https://www.ozon.ru/product/590396883;allfull;Одежда;Легинсы;Да;1765184;13;2052;33.6;860;0;100;61529;71;FBO;3;1.8;26.8;39.2;347285;39840;0.07;11.21;0;56.5;2022-05-18
